id,nombre,nombre_display,subtitulo,avatar,estado,ultima_reunion,gantt_inicio,gantt_fin,gantt_fase
alicia,Alicia — Onboarding TOPS,Alicia — Onboarding TOPS,Onboarding ejecutivo · bench externo + forms,A,En ejecución,24 Jun 2026,2026-01,2026-09,Forms + journey
romy,Romy — Mobility 360,Romy — Mobility 360,Programa de movilidad internacional LATAM,R,Standby acordado,21 May 2026,2025-12,2026-09,Entregables listos
brasil,HUB Brasil / EVP,HUB Brasil / EVP,Creación operativa del Hub São Paulo — Go-Live 1-oct,B,Fase final,24 Jun 2026,2025-12,2026-10,Ejecución hacia Go-Live
desempeno,Desempeño / GiseGPT,Desempeño / GiseGPT,GiseGPT construido y validado · espera IT,D,Bloqueado por IT,9 Abr 2026,2025-12,2026-08,Espera aprobación IT
